title,author,date,doi,ab
IoT Devices in the Workplace: Assessing Emerging Challenges for the Enterprises - A Systematic Meta-Analysis,Asif Shaikh,"June 2020,",https://doi.org/10.1145/3378539.3393863,"The Internet of Things (IoT) is reshaping industries and so is the employees' range of informal-IT usage in the workplace. This research study assesses the emerging risks and threats that arise from the increasing prevalence of employee-owned IoT devices in the new wave of IT-consumerism within enterprise premises. Most enterprises have adapted to the change brought by the personal-IT devices such as laptops, smartphones, and cloud applications, and have introduced security policies of either allowing under Bring Your Own Device (BYOD) environment, or completely restricting its usage in preventing unauthorized access to sensitive information assets. Existing research has started focusing on possible threats of employee use of IoT devices that are outside the control of IT management. This study presents a theoretical explanation of three key aspects that are discussed in the existing scholarship: threat dimension, detection, and prevention of IoT enabled Insider threat."
Digital Assistants Conveying Emotion,Reed Marques,"June 2020,",https://doi.org/10.1145/3378539.3393842,"Artificial intelligence is evolving at an unprecedented pace. The ability to convey emotion is one of the largest roadblocks preventing artificially intelligent agent from becoming truly anthropomorphic and integral in modern society. There are several works that have made a connection between anthropomorphism and emotion but none have directly tested the effect of anthropomorphism on a user's perceived emotion of the technology. Prior research showed that users prefer to interact with agents who can convey emotion as they perceive them to be more intelligent and humanlike. By being able to systematically increase perceived emotion in intelligent agents, we can further advance the domain of smart devices and increase adoption rates. Higher adoption rates leads to more research and open source projects, which ultimately translates to a better experience using them. This proposed research aims to explore the relationship between users' perceived anthropomorphism and perceived emotion of digital assistants."
The Effect of First Impressions of an E-Commerce Chatbot's Personality and Abilities on Expectations for the User Experience,Sasha Volodin,"June 2020,",https://doi.org/10.1145/3378539.3393848,"Research shows that a user is less likely to use a chatbot again if there is a failure in the interaction. Hence, first impressions with chatbots could help retain more users and loyal customers for the business. A chatbot's personality, like other anthropomorphic qualities, can give users a sense of the chatbot's abilities. Therefore, we hypothesize that a combination of personality cues and clear information about a chatbot's abilities will help to maximize user experience and increase the number of repeat users of the chatbot. A chatbot's first greeting is important because it is what the user sees before deciding whether to continue using the chatbot. It is also the basis for a user's initial assessment of what using the chatbot will be like and can thus affect the size of the expectation gap. This research could help inform and guide the design of e-commerce chatbots."
Artificially Intelligent or Humanly Artificial?: Examining User Engagement in AI Tools,Shalini Chandra,"June 2020,",https://doi.org/10.1145/3378539.3393839,"Grounding our work in competency and organizational support literature, we investigate the applicability of the Turing test in fostering user engagement with artificially intelligent (AI) machines. While prior information systems literature posits the significant role of 'instrumental value' of technology in fostering user engagement, Turing's thesis inspires us to design AI machines with 'human competencies'. In our ongoing research, we establish the significant role of task and emotional competencies as the desirable attributes in AI for fostering user engagement. However, our results negate the significance of social competencies in AI for fostering user engagement. These findings have noteworthy implications for both research and practice, which we intend to describe in our poster presentation."
Preparing for Projects: IT Student Self-Evaluation of Technical and Professional Skills,Leigh Ellen Potter,"June 2020,",https://doi.org/10.1145/3378539.3393868,"As Information Technology academics we seek to prepare our students for their future endeavours, and these are generally focused on an IT professional career. To commence such a career, our graduates need a range of skills, both technical and professional and the ability to demonstrate these skills. In this paper a study of a graduating class of IT students is examined to explore their own identification and evaluation of their skills. Their self-rated skills are compared to a peer evaluation, assessor evaluation, and an evaluation from the industry partner to determine the accuracy of their self-rated skills evaluation."
Academic Factors in IT Student Graduation Rates,Alana Platt,"June 2020,",https://doi.org/10.1145/3378539.3393834,"In this paper, we investigate the relationship between academic features and attrition rates. Using registrar information from a set of IT students, we investigate how student performance in specific classes impacts their likelihood of graduating and length of time to graduation. Our results show that significant relationships exist between courses that are classified as required, difficult, or more advanced. This work-in-progress is building towards a model using student academic features and demographic information to predict students at risk for attrition."
Analysing Gender Bias in IT Job Postings: A Pre-Study Based on Samples from the German Job Market,Stephan Böhm,"June 2020,",https://doi.org/10.1145/3378539.3393862,"In Germany, as in many other industrial nations, there is currently a shortage of skilled workers in the IT sector, also known as the ""war for talents"". It is becoming increasingly difficult for companies to find suitable personnel using traditional recruiting instruments. Against this background, but also due to legal requirements, it is becoming more and more important that job postings are formulated in such a way that they have the greatest possible impact and no group of suitable applicants feels excluded. This study presents an approach that can be used to measure the gender bias in job postings in particular. A respective tool could provide recruiters with an instrument to identify and prevent unwanted gender bias. In our study, the prototype of such a tool will be developed and initially applied to analyse job postings in the IT sector of the German job market in comparison to samples from the automotive and health care sectors. We present some key statistics of this analysis and an outlook on future work."
What Makes IT Professionals Special?: A Literature Review on Context-Specific Theorizing in IT Workforce Research,Barbara Prommegger,"June 2020,",https://doi.org/10.1145/3378539.3393861,"Research on the IT workforce has played an important role in IS research for the past 40 years. An essential part of IT workforce research deals with the contextualization of theories. Models and theories are adapted to the IT environment by integrating context-specific factors to explicitly account for relevant IT-specific conditions. Our literature review addresses context-specific theorizing in IT workforce research to understand IT-specific contextual factors. By analyzing papers dealing with IT workforce related topics published in the Senior Scholars' Basket of Journals and in selected additional journals, we examine the process of contextualization in two ways. First, we synthesize predominant IT-specific contextual factors for IT workforce research. Second, we investigate approaches of contextualization in IT workforce literature. We present nine IT-specific contextual factors grouped by three perspectives. Additionally, we introduce two approaches for contextualization in the IT workforce research and give recommendations for context-specific theorizing. Our literature review contributes to a better understanding of the uniqueness of IT professionals by providing information about how context-specific theorizing is being considered in IT workforce research."
Short-term Affair or Long-term Commitment?: An Investigation of Employees without IT Background in IT Jobs,Barbara Prommegger,"June 2020,",https://doi.org/10.1145/3378539.3393860,"The IT profession is constantly changing. The rapid development of technology and the high demand for IT specialists has led to a broader and more diverse profile of IT professionals with fewer boundaries regarding organizations and occupations. As a result, companies have encouraged the migration of employees with different backgrounds into the IT sector. Drawing on the theory of the boundaryless profession, we explore this transformation in IT careers. By studying 355 career sequences of IT professionals in Germany, we investigate the career mobility of employees without an IT background working in IT jobs. Our results show that only around one-third of employees without an IT background remained in IT for the long-term. The majority of the sample, however, either returned to their original sector or moved to another after a few years in IT. Our study contributes to a better understanding of the boundaryless IT profession and sheds light on the role of employees without an IT background in IT jobs."
Developing an IT Career Anchor Fit Construct: An Organizational Equilibrium Theory Approach,Michael A. Erskine,"June 2020,",https://doi.org/10.1145/3378539.3393837,"Organizations continue to struggle with recruiting and retaining qualified IT professionals. Yet, little is known about the reasons that some IT professionals decide to leave the IT profession altogether. Educating, recruiting, and developing the specialized IT workforce is a major undertaking, so understanding why individuals turn away from their careers is crucial. This research-in-progress explores what factors affect IT professionals' turnaway intentions through the lens of organizational equilibrium theory. Expected implications for research and practice are discussed."
Job Seekers' Artificial Intelligence-related Black Box Concerns,Jessica Ochmann,"June 2020,",https://doi.org/10.1145/3378539.3393841,
Turnover and Turnaway of IT Workers: A Person-Environment Fit Perspective,Caroline Ernestine Oehlhorn,"June 2020,",https://doi.org/10.1145/3378539.3393838,"Especially in view of the increasing skill shortage, the retention of information technology (IT) workers in organizations remains one of the three most important IT management issues for practitioners [11]. Organizations are confronted with two relevant behavioral outcomes on behalf of IT workers in this context: turnover and turnaway. While turnover means that IT workers leave their employer and start working for another employer while staying in the IT profession, turnaway reflects the abandonment of the IT profession [9]. Previous research emerging from the CPR community examines a variety of factors that lead to IT workers' turnover and turnaway, e.g. perceived job alternatives [10, 12], job satisfaction, organizational commitment [13], or personality attributes [5]. These can be classified into three categories on a superior level: individual, job-related, and organization-related factors [10]. Do these factors no longer fit with the IT workers' expectations, the intention to turn over or turn away is developed. The influence of the existing or absent fit on workers' individual outcomes, such as turnover or turnaway, is grounded in person-environment fit theory [6, 8]. In the work-related context, this environment fit consists of five dimensions:"
Job Satisfaction Following Turnover and the Moderating Role of Past Job Satisfaction for IT Professionals,Faheem Ahmed Shaikh,"June 2020,",https://doi.org/10.1145/3378539.3393846,"We investigate job satisfaction of Information Technology professionals after actual turnover using a longitudinal dataset of eight annual waves of data. The results indicate that turnover has a positive direct effect on subsequent job satisfaction and compared to those with high job satisfaction, individuals with low job satisfaction see higher increase after turnover."
Job-Leisure and Work-Family Conflict: Do they Really Matter in IT Professional Turnover?,Kurt A. Hoffmaster,"June 2020,",https://doi.org/10.1145/3378539.3393867,"Motivation, job satisfaction, and employee turnover intentions are not new topics in the employment of Information Technology (IT) professionals. Several previous turnover intention studies highlighted already proven factors related to turnover intention such as motivation and job satisfaction. There is limited research on the role that job-leisure and work-family conflict play in relation to turnover intention. This study examines how turnover intention in IT professionals is affected by extrinsic and intrinsic motivation when specifically factoring for work-family conflict and job-leisure conflict. Data for this study was gathered from IT professionals across the United States with a total of 170 valid responses. Results of the analysis indicated a significant association with intrinsic motivation and job satisfaction. Our study did not support the hypothesis that extrinsic motivation positively affected job satisfaction. Most importantly, the moderating effects of work-family and job-leisure conflict between job satisfaction and turnover intention were supported. Findings from this study increase the understanding of motivational factors that affect IT professional's turnover intentions."
Communication Measures to Reduce Techno-Invasion and Techno-Overload: A Qualitative Study Uncovering Positive and Adverse Effects,Katharina Pflügner,"June 2020,",https://doi.org/10.1145/3378539.3393855,"The perception of specific techno-stressors, such as techno- invasion or techno-overload, negatively influences employees' performance and organizations' profit. Therefore, it is imperative for organizations to implement specific, deliberate mitigation strategies. Among others, communication measures have the potential to reduce employees' perception of techno-invasion and techno-overload. Basing on 38 semi-structured interviews with working employees, this study identifies five communication measures and their positive and adverse effects in reducing techno-invasion and techno-overload from the perspective of employees. Enlarging related research on technostress mitigation, the results show that none of the analyzed communication measures is limitation-free. Therefore, we conclude that organizations need to introduce more elected and comprehensive communication measures, representing employees' individual needs and characteristics to reduce techno-invasion and techno-overload sustainably. Theoretically, our research enlarges prior findings on technostress and on mitigation of technostress presenting specific mitigation strategies for two specific techno-stressors as well as positive and adverse effects of these mitigation strategies."
Danger vs Fear: An Empirical Study on Wearable Users' Privacy Coping,Krutheeka Baskaran,"June 2020,",https://doi.org/10.1145/3378539.3393856,"With the arrival of Internet of Things, the magnitude of data shared through various devices has seen a drastic increase. Fitness trackers contribute to a significant part of this phenomenon. Increase in collection of individual's information has led to increase in privacy issues like identity theft and targeted marketing. This study treats information privacy as a distinct dimension and develops a model, drawing from extant privacy concern literature, Extended Parallel Process Model and coping theory to understand an individual's coping behavior when faced with a privacy breach to their user generated health data. The model is empirically tested by conducting a sample survey with 225 fitness tracker users. Our findings show that increased privacy concern increases threat perceptions, which has a major impact on an individual's coping behavior. The major contribution of this study is towards the understanding of the impact of fear over loss of one's health-data privacy and the resulting shift in the attitude towards the technology itself. Theoretically this study extends fear appeals theory to information privacy by incorporating the role of individual's privacy concern. This study implies that manufacturers and policy makers in healthcare domain need to re-examine privacy and data processing policies keeping in mind potential consumer privacy concerns."
Agile and Overworked?: The Role of Work Overload and Psychological Detachment in Agile Information Systems Development Projects,Veronika Huck-Fries,"June 2020,",https://doi.org/10.1145/3378539.3393835,"The role of work overload in work performance has received much study. In this research-in-progress paper, we shed light on how agile information systems development (ISD) practices can influence this relationship. Using the stressor-detachment model as a theoretical base, we present our research model and propose that agile ISD practices reduce work overload and, in turn, foster ISD project success. We furthermore suggest that psychological detachment moderates this relationship. The agenda for data collection and analysis is described."
"Benefits in Privacy Research: A Literature Review, Status Quo and Future Research Directions",Jakob Wirth,"June 2020,",https://doi.org/10.1145/3378539.3393854,"Research in the stream of privacy considers benefits as an important and central concept. Benefits are the positive outcomes that individuals will experience when disclosing information. However, we see that only few papers theorize benefits in their research and thereby the operationalization and understanding of benefits is mixed, unstandardized and seems to follow no specific order. Based on that observation, we aim to provide a first step towards a standardized usage of benefits in privacy research studies, by summarizing existing benefits in privacy research and categorizing them. To do so, we base on the theory of perceived value. This theory uses five dimensions (emotional value, social value for myself, social value for others, monetary value as well as utility value), which we use to categorize different benefits. The results confirm our initial observations that indeed different constructs of benefits are used even in the same research context without justification. Implications among others refer to the recommendation to use the same term for the same construct and to consider all five dimensions of benefits in privacy research studies."
Science-Fiction Movies as an Indicator for User Acceptance of Robots in a Non-Industrial Environment,Nina Merz,"June 2020,",https://doi.org/10.1145/3378539.3393847,
Challenges of Applying Predictive Analytics in Transport Logistics,Hendrik Birkel,"June 2020,",https://doi.org/10.1145/3378539.3393864,"The field of Predictive Analytics (PA) provides the possibility to utilize large amounts of data to improve forecasting, data-driven decision-making, and competitive advantage. Especially the transport logistics sector, which is characterized by high business-related uncertainties, time-sensitivity, and volatility, highly benefits from accurate resource and production planning. While success factors and framework conditions of applying PA are well-investigated on a theoretical SCM level, findings on internal and external challenges of transport logistics organizations remain scarce. Therefore, based on a multiple case approach, this study offers in-depth insights into six real-world cases of freight forwarders, ocean carriers, and air carriers. The results uncover both internal and external challenges. From the internal perspective, the biggest challenges are related to the technical implementation including the acquisition of globally generated, internal and external data and its harmonization. In addition, stakeholder management and target setting impede the development of PA. Regarding external challenges, relational and external conditions hamper the application. Therefore, especially actions of third-party institutions in terms of standardization and security enhancements are required. This study contributes to the existing literature in various ways as the systematic identification addresses real-world issues of PA in the neglected but crucial area of transport logistics, discussing urgent research needs and highlighting potential solutions. Additionally, the results offer valuable guidance for managers when implementing PA in transport logistics."
"If I Cannot See It, It Is Not There - A Graphical Approach to De-escalating Commitment",Leonard Michels,"June 2020,",https://doi.org/10.1145/3378539.3393865,"Escalation of commitment is a common bias in human decision- making. It has been studied for more than 40 years, however, an effective measure to de-escalate commitment is still missing. In order to find a new method of de-escalating commitment, this paper integrates past research on the effects of information about opportunity costs on escalation of commitment, and on the influence of information systems using graphical presentation formats on human decision making. It investigates whether graphically presenting information about opportunity costs or sunk costs influences an individual's tendency to escalate commitment. An online experiment with 380 participants was conducted, in which four decision scenarios were presented. The participants received information about the decision alternatives either in a table or in dashboards containing one graph and a table. Contrary to the first hypothesis, graphically presenting information about opportunity costs did not lead to decreased escalation behavior. The second hypothesis, which proposed an increasing effect of graphically presenting information about sunk costs, was supported by the data. Information systems using graphical information presentation might, therefore, be a promising approach to alter human decisions in economic contexts."
Predicting Success in Using ERP Systems,Bih-Ru Lea,"June 2020,",https://doi.org/10.1145/3378539.3393843,"This research explores the influence of personality types on ERP system learning performance. Four personality types were identified using cluster analysis based on the Big Five personality traits, i.e., conscientiousness, neuroticism, extraversion, openness, and agreeableness. These four personality types were found to be significantly associated with ERP learning performance. Additionally, prior knowledge, learning motivation, demographic factors (such as gender, age, year in school), and social as well as culture influences were found to moderate the relationships between the personality types and ERP learning performance. These findings can provide valuable insights for the organizational success of ERP systems by helping to identify which users can learn to utilize these systems effectively."
A Conceptual Model of Antecedents of Emergent Leadership in Agile Teams,Leonard Przybilla,"June 2020,",https://doi.org/10.1145/3378539.3393844,"Self-organization is a key proposition of agile software development (ASD). Despite this stark emphasis, there is little understanding how self-organization actually works. Drawing on established findings in general group research, we propose emergent leadership, that is taking on leadership roles without formal authority, to be an enabler of effective self-organization in ASD teams. By contextualizing extant knowledge, we develop a theoretical model of antecedents of emergent leadership in ASD teams and how ASD practices reinforce these relationships. Our model is of value to research by increasing understanding which factors make agile teamwork effective."
Evolution of Enterprise Social Media Networks: A Research Proposal,Sebastian Schötteler,"June 2020,",https://doi.org/10.1145/3378539.3393850,"Humans, as social beings, regularly create social ties with each other. Hence, social networks of interconnected humans - such as friendship or collaboration networks - are commonplace. In this context, the proliferation of social media such as Facebook, Reddit, and Twitter have significantly influenced how humans form social ties, resulting in an abundance of social-media-based social networks, or more briefly, social media networks [3]."
Investigating Social Phenomena in IT Project Teams as Dynamic Entities,Leonard Przybilla,"June 2020,",https://doi.org/10.1145/3378539.3393853,"To complete complex, knowledge-intensive tasks, IT work critically relies on effective teamwork enabled by well-functioning team processes and constructs. Considering general trends in team research, I propose to consider IT project teams as dynamic instead of static entities. Embracing this proposition, this dissertation sets out to explore three social phenomena at different levels of the team. Using an external perspective, I explore group divisions, called faultlines, and subgroups in IT project teams. Adopting an internal and cross-boundary view, I investigate the effects of fluid team membership. Lastly, I study emergent leadership in IT project teams as a means of effective organization."
Mass Communication on Social Media: The Case of Fake News,Maximilian Haug,"June 2020,",https://doi.org/10.1145/3378539.3393852,"?Fake News"" is described as misinformation, fabricated to mislead its readers without providing objective facts. The increasing use and relevance of social media in nowadays society elevates the power of the intentional spreading of false information. The terminology of ?Fake News"" first gained attention of the public in the US election in 2016. Stories about election manipulation were shared among social media and were widely discussed in the web. This phenomenon will not decline with the increase importance of social media platforms nowadays. Maliciously spreading false information does not only find application in the political sphere but can also cause economic damage, which the case of the United Airlines in 2008 shows. The impact of what people believe on social media affected the share price after the spreading false information about United Airlines' bankruptcy. Also, misinformation about pandemic outbreaks can harm society as a whole by inducing panic. These instances show that a better understanding of dynamics of social media needs to be investigated, how users engage with information on social media. In contrast to mass communication models in the past, in which a gatekeeper (e.g. a news outlet) had the sole power of what the reader will see on the newspaper, nowadays users themselves emerged to gatekeepers on their own with the possibility to publish information. This opens up paths for new dynamics which are tied to the social media platforms with their sharing and liking mechanisms. The research is based on Westley and MacLean's Model of Communication with the added possibilities for the entities to interact with each other every time. Based on this model, theories of mass communication such as the ?spiral of silence"" or effects like ?the sleeper effect"" shall be tested and evaluated how these phenomena emerge now in the space of social media. There are several theories which explain behavior based on behavior of peers or groups, such as Herding Theory or Theory of Reasoned Action. Further elaboration is needed on how the spiral of silence is unique and how it is different from other theories. Early findings stressed the importance of the source. However, it is not yet clear how platform specific mechanisms such as liking or sharing can influence the perceived public opinion of users."
Exploring the Roles and Contributions of Participants as Designers in Projects Utilising Augmented Reality: Doctoral Consortium Abstract,Alexandra Thompson,"June 2020,",https://doi.org/10.1145/3378539.3393851,
Keynote: Were You There When??,Ephraim R. McLean,"June 2019,",https://doi.org/10.1145/3322385.3322427,"Since the early 1960s, the field of management information systems has experienced tremendous growth and its research community has formalized and flourished. Professor Ephraim R. McLean, Regents' Professor and George E. Smith Eminent Scholar's Chair -- ""Eph"" -- is a legend among scholars of information systems and in particular scholars in computer and people research. He has been a fixture at ACM SIGMIS CPR from its early beginnings in the 1970s. His keynote will provide a historical look at the foundations of the field, examine its enduring issues, and speculate about the future of research and practice."
A Comparative Study on the Academic Performance of Three Information System (IS) Streams at the University of Botswana,Oduronke T. Eyitayo,"June 2019,",https://doi.org/10.1145/3322385.3322415,"The University of Botswana (UB) has been offering the Bachelor of Information Systems (BIS) programme since 2002. The offering is done via three streams - Business Information Systems (BIS), Computer Information Systems (CIS) and Information Management (IM) through three departments: Department of Accounting & Finance, Department of Computer Science, and Department of Library and Information Studies respectively. In 2010, a new curriculum was approved that has since been implemented by the three streams for about five years. The focus of the new curriculum was that each of the streams of the BIS degree would endeavor to focus on the areas of paramount importance to the specific department offering the particular stream. The new curriculum uses the IS 2010 model curricula."
Unintended Consequences of Wearable Fitness Devices in Corporate Wellness Programs,Laurie Giddens,"June 2019,",https://doi.org/10.1145/3322385.3322416,"In an effort to reduce insurance costs and improve the health and well-being of employees, corporations are using wearable fitness trackers in tandem with Corporate Wellness Programs. Research shows that CWP improve employee fitness levels, job satisfaction, and well-being. While prior studies indicate that wearable fitness trackers improve user well-being, the potential negative impacts or unintended consequences of introducing these devices in the workplace needs additional investigation. We conduct a case study at a company using wearable fitness trackers in its wellness program. Our initial findings suggest that introducing wearable fitness trackers to wellness programs has a negative relationship with job satisfaction and employee well-being. These findings have implications for wearable technology research and for practitioners utilizing wearables in the workplace."
